# ----------------------------------------
# Detalles demograficos: Pais
# Cuenta: CercaClickcr.com
# Propiedad: CercaClickcr.com
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260428
# Fecha de finalizacion: 20260527
Pais,Usuarios activos,Usuarios nuevos,Sesiones con interaccion,Porcentaje de interacciones,Sesiones con interaccion por usuario activo,Tiempo de interaccion medio por usuario activo,Numero de eventos,Eventos clave,Tasa de evento clave de usuarios,Total de ingresos
Costa Rica,64,54,48,0.55,0.75,98.3,520,4,0.0625,0
United States,7,6,4,0.4,0.57,12.2,24,0,0,0
Mexico,5,5,3,0.5,0.6,10.4,18,0,0,0
Nicaragua,3,3,2,0.5,0.67,8.5,12,0,0,0
Panama,2,2,1,0.5,0.5,7.0,8,0,0,0
Spain,2,2,1,0.5,0.5,6.5,8,0,0,0
Germany,1,1,0,0,0,1,4,0,0,0
France,1,1,0,0,0,2.5,4,0,0,0
United Kingdom,1,1,1,1,1,15,4,0,0,0
